Title,URL,Scraped_At,Description,Cover_Image_URL,OS_Minimum,CPU_Minimum,RAM_Minimum,GPU_Minimum,Storage_Minimum,OS_Recommended,CPU_Recommended,RAM_Recommended,GPU_Recommended,Storage_Recommended
A Bug's Life,https://www.pcgamingwiki.com/wiki/A_Bug%27s_Life,2026-05-25T11:21:08.492646,A Bug's Life is a singleplayer third-person platform game in the Pixar series.,https://thumbnails.pcgamingwiki.com/1/1e/A_Bug%27s_Life_Cover.jpg/600px-A_Bug%27s_Life_Cover.jpg,95,Intel Pentium 166 MHz,16 MB,2 MB of VRAM,35 MB,N/A,Intel Pentium 200 MHz,32 MB,4 MB of VRAM,N/A
A Building Full of Cats,https://www.pcgamingwiki.com/wiki/A_Building_Full_of_Cats,2026-05-25T11:21:14.413355,A Building Full of Cats is a singleplayer hidden object game in the Full of Cats series.,https://images.pcgamingwiki.com/8/80/A_Building_Full_of_Cats_cover.jpg,7,N/A,1 GB,512 MB of VRAM,100 MB,N/A,N/A,N/A,N/A,N/A
A Bumpy Ride,https://www.pcgamingwiki.com/wiki/A_Bumpy_Ride,2026-05-25T11:21:19.951313,A Bumpy Ride is a singleplayer game.,https://images.pcgamingwiki.com/b/b4/A_Bumpy_Ride.jpg,"Windows 10, 64-bit","Quad-core Intel or AMD, 2.5 GHz or faster",8 GB,Dedicated GPU capable of running DirectX 12 (Intel integrated graphics not supported),2 GB available space,"Windows 11, 64-bit",AMD Ryzen 5 5600X (or equivalent),8 GB,NVIDIA GeForce RTX 3060 (or equivalent),2 GB available space
A Business Power,https://www.pcgamingwiki.com/wiki/A_Business_Power,2026-05-25T11:21:24.529075,N/A,https://thumbnails.pcgamingwiki.com/7/7f/A_Business_Power_cover.jpg/600px-A_Business_Power_cover.jpg,7,Intel Core i3 2nd GenAMD A4,2048 MB,Intel HD GraphicsNvidia GT730AMD HD 5550,N/A,N/A,Intel Core i3 6th GenAMD A8,4096 MB,Intel HD GraphicsNvidia GT730AMD HD 5550,N/A
A Butterfly in the District of Dreams,https://www.pcgamingwiki.com/wiki/A_Butterfly_in_the_District_of_Dreams,2026-05-25T11:21:29.450419,N/A,https://thumbnails.pcgamingwiki.com/9/91/A_Butterfly_in_the_District_of_Dreams_cover.jpg/600px-A_Butterfly_in_the_District_of_Dreams_cover.jpg,N/A,1.7 GHz Intel or AMD Processor,512 MB,OpenGL or DirectX Compatible Graphics CardDirectX 9.0c compatible,500 MB,N/A,N/A,N/A,N/A,N/A
A Buttload of Free Games,https://www.pcgamingwiki.com/wiki/A_Buttload_of_Free_Games,2026-05-25T11:21:34.103281,"A Buttload of Free Games is a singleplayer and multiplayer action, adventure, RPG, simulation, sports and strategy game.",https://images.pcgamingwiki.com/7/77/A_Buttload_of_Free_Games_cover.jpg,N/A,N/A,4 GB,N/A,20 GB,N/A,N/A,N/A,N/A,N/A
A Case of Distrust,https://www.pcgamingwiki.com/wiki/A_Case_of_Distrust,2026-05-25T11:21:39.099768,A Case of Distrust is a singleplayer first-person and scrolling adventure game.,https://images.pcgamingwiki.com/a/ae/A_Case_of_Distrust_cover.jpg,7,2 GHz,2 GB,Intel HD Graphics,1500 MB,N/A,N/A,N/A,N/A,N/A
A Case of Fraud,https://www.pcgamingwiki.com/wiki/A_Case_of_Fraud,2026-05-25T11:21:44.456528,A Case of Fraud is a singleplayer game.,https://images.pcgamingwiki.com/d/d1/A_Case_of_Fraud_cover.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Castle Full of Cats,https://www.pcgamingwiki.com/wiki/A_Castle_Full_of_Cats,2026-05-25T11:21:49.151444,A Castle Full of Cats is a singleplayer hidden object and metroidvania game in the Full of Cats series.,https://images.pcgamingwiki.com/f/ff/A_Castle_Full_of_Cats_cover.jpg,7,N/A,4 GB,Intel HD Graphics 4000OpenGL 3.3 compatible,300 MB,N/A,2.2 GHz Quad Core,8 GB,Nvidia GeForce GTX 1050,N/A
A Cat's Manor,https://www.pcgamingwiki.com/wiki/A_Cat%27s_Manor,2026-05-25T11:21:53.725384,N/A,https://thumbnails.pcgamingwiki.com/2/25/A_Cat%27s_Manor_cover.jpg/600px-A_Cat%27s_Manor_cover.jpg,7,Intel CORE i3,4 GB,Nvidia GeForce 840m,300 MB,N/A,N/A,N/A,N/A,N/A
A Chair in a Room: Greenwater,https://www.pcgamingwiki.com/wiki/A_Chair_in_a_Room:_Greenwater,2026-05-25T11:21:58.581314,N/A,https://thumbnails.pcgamingwiki.com/2/27/A_Chair_in_a_Room_Greenwater_cover.jpg/600px-A_Chair_in_a_Room_Greenwater_cover.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Cheesy Game,https://www.pcgamingwiki.com/wiki/A_Cheesy_Game,2026-05-25T11:22:04.599325,N/A,https://thumbnails.pcgamingwiki.com/a/ad/A_Cheesy_Game_cover.jpg/600px-A_Cheesy_Game_cover.jpg,7,Dual Core 2.4Ghz,4 GB,Nvidia GeForce MX150 2GBDirectX 9.0 compatible,350 MB,N/A,N/A,N/A,N/A,N/A
A Christmas Peril,https://www.pcgamingwiki.com/wiki/A_Christmas_Peril,2026-05-25T11:22:09.087321,N/A,https://images.pcgamingwiki.com/5/56/A_Christmas_Peril_cover.jpg,7,Intel Core i3-550 @ 3.0 GHzAMD FX 4100 3.6 GHz,1 GB,Intel HD Graphics 4000Nvidia GeForce GT 240AMD Radeon HD 4670,300 MB,N/A,N/A,N/A,N/A,N/A
A City Sleeps,https://www.pcgamingwiki.com/wiki/A_City_Sleeps,2026-05-25T11:22:14.894822,N/A,https://thumbnails.pcgamingwiki.com/c/cc/A_City_Sleeps_cover.jpg/600px-A_City_Sleeps_cover.jpg,7,Intel Core 2 Duo 3.00 GHz,2 GB,ATI Radeon 2400DirectX 9.0 compatible,N/A,8,N/A,N/A,N/A,N/A
A Clockwork Ley-Line: Daybreak of Remnants Shadow,https://www.pcgamingwiki.com/wiki/A_Clockwork_Ley-Line:_Daybreak_of_Remnants_Shadow,2026-05-25T11:22:19.879198,N/A,https://images.pcgamingwiki.com/5/53/A_Clockwork_Ley-Line_Daybreak_of_Remnants_Shadow_cover.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Clockwork Ley-Line: Flowers Falling in the Morning Mist,https://www.pcgamingwiki.com/wiki/A_Clockwork_Ley-Line:_Flowers_Falling_in_the_Morning_Mist,2026-05-25T11:22:25.002447,N/A,https://images.pcgamingwiki.com/f/ff/A_Clockwork_Ley-Line_Flowers_Falling_in_the_Morning_Mist_cover.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Clockwork Ley-Line: The Borderline of Dusk,https://www.pcgamingwiki.com/wiki/A_Clockwork_Ley-Line:_The_Borderline_of_Dusk,2026-05-25T11:22:29.830145,N/A,https://thumbnails.pcgamingwiki.com/c/cf/A_Clockwork_Ley-Line_The_Borderline_of_Dusk_cover.jpg/600px-A_Clockwork_Ley-Line_The_Borderline_of_Dusk_cover.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Collection of Bad Moments,https://www.pcgamingwiki.com/wiki/A_Collection_of_Bad_Moments,2026-05-25T11:22:36.809830,N/A,https://thumbnails.pcgamingwiki.com/8/89/A_Collection_of_Bad_Moments_cover.jpg/600px-A_Collection_of_Bad_Moments_cover.jpg,7,N/A,4 GB,DirectX 9.0 compatible,2 GB,"8, 10","Quad-core Intel or AMD, 2.5 GHz or faster",8 GB,DirectX 11 compatible,N/A
A Compendium of Ghosts,https://www.pcgamingwiki.com/wiki/A_Compendium_of_Ghosts,2026-05-25T11:22:42.675779,N/A,https://thumbnails.pcgamingwiki.com/b/ba/%EC%8B%A0%EA%B8%B0%EB%A1%9D_A_Compendium_of_Ghosts_cover.jpg/600px-%EC%8B%A0%EA%B8%B0%EB%A1%9D_A_Compendium_of_Ghosts_cover.jpg,XP,2 GHz+,2 GB,128 MB of VRAM,250 MB,"Vista, 7, 8, 10",N/A,3 GB,128 MB of VRAM,N/A
A Dance of Fire and Ice,https://www.pcgamingwiki.com/wiki/A_Dance_of_Fire_and_Ice,2026-05-25T11:22:47.573618,N/A,https://images.pcgamingwiki.com/8/87/A_Dance_of_Fire_and_Ice_cover.jpg,7 or later,N/A,2 GB,Intel Graphics 4000,1.5 GB,N/A,N/A,N/A,N/A,N/A
A Dark World: The Glowing City,https://www.pcgamingwiki.com/wiki/A_Dark_World:_The_Glowing_City,2026-05-25T11:22:52.872104,N/A,https://thumbnails.pcgamingwiki.com/2/21/A_Dark_World_The_Glowing_City_cover.jpg/600px-A_Dark_World_The_Glowing_City_cover.jpg,7,i3 Dual core or better,2 GB,Integrated HDDirectX 9.0 compatible,1 GB,"8, 10",N/A,N/A,N/A,N/A
A Date in the Park,https://www.pcgamingwiki.com/wiki/A_Date_in_the_Park,2026-05-25T11:22:58.337847,N/A,https://images.pcgamingwiki.com/9/90/A_Date_in_the_Park_cover.jpg,7,500 MHz,128 MB,DirectX 9.0 compatible,187 MB,N/A,1 GHz,2 GB,N/A,N/A
A Day for a Kitten,https://www.pcgamingwiki.com/wiki/A_Day_for_a_Kitten,2026-05-25T11:23:03.887750,N/A,https://thumbnails.pcgamingwiki.com/4/4e/A_day_for_a_kitten_cover.jpg/600px-A_day_for_a_kitten_cover.jpg,7,Dual Core,2 GB,Pixelshader 3.0 enabled graphics card(DirectX 10 capable graphics card)DirectX 9.0c compatible,1.5 GB,"8, 10",N/A,N/A,N/A,15 GB
A Day in the Woods,https://www.pcgamingwiki.com/wiki/A_Day_in_the_Woods,2026-05-25T11:23:08.367797,N/A,https://thumbnails.pcgamingwiki.com/b/b3/A_Day_in_the_Woods_cover.jpg/600px-A_Day_in_the_Woods_cover.jpg,N/A,1.2 GHz,1 GB,ATI Radeon X800Nvidia GeForce 6600128 MB of VRAMDirectX 9.0c compatibleShader model 2.0 support,200 MB,N/A,N/A,N/A,N/A,N/A
A Dead World's Dream,https://www.pcgamingwiki.com/wiki/A_Dead_World%27s_Dream,2026-05-25T11:23:14.492621,N/A,https://thumbnails.pcgamingwiki.com/5/50/A_dead_world%27s_dream_cover.jpg/600px-A_dead_world%27s_dream_cover.jpg,8,Intel Core i3,2 GB,N/A,100 MB,N/A,N/A,N/A,N/A,N/A
A Deadly Maze: Phase 1,https://www.pcgamingwiki.com/wiki/A_Deadly_Maze:_Phase_1,2026-05-25T11:23:20.252309,N/A,https://thumbnails.pcgamingwiki.com/d/dd/A_Deadly_Maze_Phase_1_cover.jpg/600px-A_Deadly_Maze_Phase_1_cover.jpg,7,2.0 GHz,512 MB,512 MB VRAM,70 MB,N/A,N/A,N/A,N/A,N/A
A Demon's Game - Episode 1,https://www.pcgamingwiki.com/wiki/A_Demon%27s_Game_-_Episode_1,2026-05-25T11:23:25.285464,N/A,https://thumbnails.pcgamingwiki.com/a/a4/A_Demon%27s_Game_-_Episode_1_cover.jpg/600px-A_Demon%27s_Game_-_Episode_1_cover.jpg,Vista,2.0 GHz dual core,2 GB,IntelNvidiaAMDOpenGL 4.0 compatibleDirectX 11 compatible,4 GB,"7, 8, 8.1, 10",N/A,N/A,N/A,N/A
A Detective's Novel,https://www.pcgamingwiki.com/wiki/A_Detective%27s_Novel,2026-05-25T11:23:30.980841,N/A,https://thumbnails.pcgamingwiki.com/3/30/A_Detective%27s_Novel_cover.jpg/600px-A_Detective%27s_Novel_cover.jpg,N/A,1 GHz,512 MB,DirectX compatible card,180 MB,N/A,N/A,N/A,N/A,N/A
A Difficult Game About Climbing,https://www.pcgamingwiki.com/wiki/A_Difficult_Game_About_Climbing,2026-05-25T11:23:36.089565,A Difficult Game About Climbing is a singleplayer side view and scrolling game.,https://images.pcgamingwiki.com/4/44/A_Difficult_Game_About_Climbing_Steam_Cover.jpg,7 SP1,2 GHz Dual Core,2 GB,Intel HD 4000DirectX 11 compatible,1 GB,10,2.5GHz Dual Core,4 GB,Nvidia GeForce GTX 970AMD Radeon RX 470DirectX 11 compatible,1 GB
A Divided Light,https://www.pcgamingwiki.com/wiki/A_Divided_Light,2026-05-25T11:23:40.968093,N/A,https://thumbnails.pcgamingwiki.com/b/be/A_Divided_Light_cover.jpg/600px-A_Divided_Light_cover.jpg,7,Intel Core 2 DuoAMD Phemon II,4 GB,N/A,250 MB,N/A,N/A,N/A,N/A,N/A
A Dragon Girl Looks Up at the Endless Sky,https://www.pcgamingwiki.com/wiki/A_Dragon_Girl_Looks_Up_at_the_Endless_Sky,2026-05-25T11:23:45.475229,N/A,https://thumbnails.pcgamingwiki.com/b/bb/A_dragon_girl_looks_up_at_the_endless_sky_cover.jpg/600px-A_dragon_girl_looks_up_at_the_endless_sky_cover.jpg,7,Intel Pentium 4,2 GB,64 MB of VRAMDirectX 9.0c compatible,2662 MB,"8, 10",Intel Core 2 Duo or better,4 GB,128 MB of VRAM,3 GB
A Dragon's Tale VR,https://www.pcgamingwiki.com/wiki/A_Dragon%27s_Tale_VR,2026-05-25T11:23:51.277856,N/A,https://thumbnails.pcgamingwiki.com/2/22/A_Dragon%27s_Tale_VR_cover.jpg/600px-A_Dragon%27s_Tale_VR_cover.jpg,7,Intel Core i5-4590 @ 3.3GHz,6 GB,Nvidia GeForce GTX 1050 or equivalent,2 GB,N/A,N/A,N/A,N/A,N/A
A Dream for Aaron,https://www.pcgamingwiki.com/wiki/A_Dream_for_Aaron,2026-05-25T11:23:56.062066,N/A,https://thumbnails.pcgamingwiki.com/b/ba/A_Dream_For_Aaron_cover.jpg/600px-A_Dream_For_Aaron_cover.jpg,XP,Intel Pentium 4 2.0 GHz,2 GB,512 MB of VRAM,1 GB,"Vista, 7",N/A,N/A,N/A,N/A
A Dream of Burning Sand,https://www.pcgamingwiki.com/wiki/A_Dream_of_Burning_Sand,2026-05-25T11:24:01.018025,N/A,https://thumbnails.pcgamingwiki.com/8/81/A_Dream_of_Burning_Sand_cover.jpg/600px-A_Dream_of_Burning_Sand_cover.jpg,N/A,N/A,4 GB,N/A,128 MB,N/A,N/A,N/A,N/A,N/A
A Druid's Duel,https://www.pcgamingwiki.com/wiki/A_Druid%27s_Duel,2026-05-25T11:24:05.291871,N/A,https://thumbnails.pcgamingwiki.com/8/8e/A_Druid%27s_Duel_cover.jpg/600px-A_Druid%27s_Duel_cover.jpg,7,1.4 GHz or faster,1 GB,Any from the last 4 years,1 GB,8,1.6 GHz or faster,N/A,Any from the last 4 years,N/A
A Duel Hand Disaster: Trackher,https://www.pcgamingwiki.com/wiki/A_Duel_Hand_Disaster:_Trackher,2026-05-25T11:24:11.390591,N/A,https://thumbnails.pcgamingwiki.com/3/33/A_Duel_Hand_Disaster_Trackher_cover.jpg/600px-A_Duel_Hand_Disaster_Trackher_cover.jpg,7,Intel Core i5AMD equivalent,2 GB,Intel HD 5000DirectX 9.0 compatible,300 MB,10,Intel Core i7,N/A,Nvidia GeForce GTX 660tiDirectX 11 compatible,N/A
A Dump in the Dark,https://www.pcgamingwiki.com/wiki/A_Dump_in_the_Dark,2026-05-25T11:24:16.357186,N/A,https://thumbnails.pcgamingwiki.com/a/a1/A_Dump_in_the_Dark_cover.jpg/600px-A_Dump_in_the_Dark_cover.jpg,7,2 GHz,8 GB,DirectX 9.0 compatible,5 GB,N/A,3 GHz,16 GB,Nvidia GeForce GTX 780,6 GB
A Fairy Tale,https://www.pcgamingwiki.com/wiki/A_Fairy_Tale,2026-05-25T11:24:20.744377,A Fairy Tale is a singleplayer tile matching game.,https://images.pcgamingwiki.com/c/cf/A_Fairy_Tale_cover.png,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Familiar Fairytale: Dyslexic Text Based Adventure,https://www.pcgamingwiki.com/wiki/A_Familiar_Fairytale:_Dyslexic_Text_Based_Adventure,2026-05-25T11:24:26.211527,N/A,https://thumbnails.pcgamingwiki.com/4/49/A_Familiar_Fairytale_Dyslexic_Text_Based_Adventure_cover.jpg/600px-A_Familiar_Fairytale_Dyslexic_Text_Based_Adventure_cover.jpg,7,na,N/A,na,N/A,N/A,N/A,N/A,N/A,N/A
A Family of Grave Diggers,https://www.pcgamingwiki.com/wiki/A_Family_of_Grave_Diggers,2026-05-25T11:24:30.729302,N/A,https://thumbnails.pcgamingwiki.com/4/47/A_Family_of_Grave_Diggers_cover.jpg/600px-A_Family_of_Grave_Diggers_cover.jpg,N/A,N/A,256 MB,,128 MB,N/A,N/A,512 MB,Dedicated,N/A
A Farewell to Dragons,https://www.pcgamingwiki.com/wiki/A_Farewell_to_Dragons,2026-05-25T11:24:37.395791,N/A,https://images.pcgamingwiki.com/8/84/A_Farewell_to_Dragons_cover.jpg,2000,1.5 GHz,512 MB,ATI Radeon 9600Nvidia GeForce FX 5700128 MB of VRAMDirectX 9.0c compatible,3 GB,XP,2.4 GHz,1 GB,ATI Radeon 9800Nvidia GeForce FX 6800,N/A
"A Fear of Heights, and Other Things","https://www.pcgamingwiki.com/wiki/A_Fear_of_Heights,_and_Other_Things",2026-05-25T11:24:43.340080,N/A,https://thumbnails.pcgamingwiki.com/e/e3/A_Fear_Of_Heights%2C_And_Other_Things_cover.jpg/600px-A_Fear_Of_Heights%2C_And_Other_Things_cover.jpg,7 SP1,Intel Core i5 4590AMD FX 8350,4 GB,Nvidia GeForce GTX 970AMD Radeon R9 290,900 MB,N/A,N/A,N/A,N/A,N/A
A Feeble Saga: Chapter I,https://www.pcgamingwiki.com/wiki/A_Feeble_Saga:_Chapter_I,2026-05-25T11:24:48.220101,N/A,https://thumbnails.pcgamingwiki.com/5/5d/A_Feeble_Saga_Chapter_I_cover.jpg/600px-A_Feeble_Saga_Chapter_I_cover.jpg,7 SP1,Intel Core i3,6 MB,Any graphics card with SM 4.0DirectX 10 compatible,700 MB,10,Intel Core i7,16 MB,NVIDIA GTX 1060 or betterDirectX 11 compatible,N/A
A Few Quick Matches,https://www.pcgamingwiki.com/wiki/A_Few_Quick_Matches,2026-05-25T11:24:52.417009,A Few Quick Matches is a multiplayer side view action and fighting game.,https://images.pcgamingwiki.com/7/73/A_Few_Quick_Matches_Cover.jpg,7,1.2 GHz,512 MB,32 MB of VRAMDirectX 9.0c compatible,300 MB,N/A,N/A,N/A,N/A,N/A
A Fine Mess,https://www.pcgamingwiki.com/wiki/A_Fine_Mess,2026-05-25T11:24:58.108154,N/A,https://thumbnails.pcgamingwiki.com/9/95/A_Fine_Mess_cover.jpg/600px-A_Fine_Mess_cover.jpg,7,2.4 GHz Dual Core,8 GB,Nvidia GeForce GTX 750AMD Radeon R7 260X1 GB of VRAMDirectX 11 compatible,2 GB,"8, 10",N/A,N/A,N/A,N/A
A Fisherman's Tale,https://www.pcgamingwiki.com/wiki/A_Fisherman%27s_Tale,2026-05-25T11:25:03.329091,"A Fisherman's Tale is a narrative puzzle for VR featuring droste effect as main gameplay mechanic, it was developed by Innerspace VR and published by Vertigo Games. It was released on Steam, Oculus Rift, Viveport and Playstation VR, at January 22th, 2019. November 28th, 2019, game was additionally released for Oculus Quest, with additional updates also provided to all other versions of the game, including support for Valve Index and HTC Vive Cosmos as well as refinements on games mechanics.",https://images.pcgamingwiki.com/4/4b/A_Fisherman%27s_Tale_cover.jpg,"7, 8, 8.1",Intel Core i5-4590AMD FX-8350,4 GB,Nvidia GeForce GTX 970AMD Radeon R9 290,10 GB,10,N/A,N/A,N/A,N/A
A Fisherman's Tale 2,https://www.pcgamingwiki.com/wiki/A_Fisherman%27s_Tale_2,2026-05-25T11:25:08.563369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Fistful of Gun,https://www.pcgamingwiki.com/wiki/A_Fistful_of_Gun,2026-05-25T11:25:12.862784,N/A,https://thumbnails.pcgamingwiki.com/5/57/A_Fistful_of_Gun_-_Cover.png/600px-A_Fistful_of_Gun_-_Cover.png,XP,1.8 GHz Dual Core,2 GB,DirectX 9.0 compatible,600 MB,N/A,N/A,N/A,N/A,N/A
A five-day tour in the morgue,https://www.pcgamingwiki.com/wiki/A_five-day_tour_in_the_morgue,2026-05-25T11:25:17.683940,N/A,https://thumbnails.pcgamingwiki.com/9/91/A_five-day_tour_in_the_morgue_cover.jpg/600px-A_five-day_tour_in_the_morgue_cover.jpg,7,"ntel i5-4590, AMD FX 8350",4 GB,Nvidia GeForce GTX 970AMD Radeon R9 290,2 GB,"8, 10",N/A,N/A,N/A,N/A
A Flappy Bird in Real Life,https://www.pcgamingwiki.com/wiki/A_Flappy_Bird_in_Real_Life,2026-05-25T11:25:22.993002,N/A,https://thumbnails.pcgamingwiki.com/9/91/A_Flappy_Bird_in_Real_Life_cover.jpg/600px-A_Flappy_Bird_in_Real_Life_cover.jpg,SP3,Intel Core 2 Duo,512 MB,DirectX 9.0c compatible video card 512MBDirectX 9.0 compatible,100 MB,N/A,N/A,N/A,N/A,N/A
A Fold Apart,https://www.pcgamingwiki.com/wiki/A_Fold_Apart,2026-05-25T11:25:27.544277,N/A,https://images.pcgamingwiki.com/d/da/A_Fold_Apart_cover.jpg,10,Intel Core i5-3750,8 GB,Nvidia GeForce GTX 660,10 GB,N/A,N/A,N/A,N/A,N/A
A Foretold Affair,https://www.pcgamingwiki.com/wiki/A_Foretold_Affair,2026-05-25T11:25:33.641709,N/A,https://thumbnails.pcgamingwiki.com/7/76/A_Foretold_Affair_cover.jpg/600px-A_Foretold_Affair_cover.jpg,N/A,1 GHz,800 MB,DirectX or OpenGL compatible card,400 MB,N/A,N/A,N/A,N/A,N/A
A Fork in the Tale,https://www.pcgamingwiki.com/wiki/A_Fork_in_the_Tale,2026-05-25T11:25:38.919663,A Fork in the Tale is a singleplayer third-person adventure game.,https://thumbnails.pcgamingwiki.com/b/bd/A_Fork_in_the_Tale_cover.jpg/600px-A_Fork_in_the_Tale_cover.jpg,95,Intel Pentium,8 MB,1 MB of VRAM,35 MB,N/A,Intel Pentium 90 MHz,16 MB,N/A,N/A
A Front Too Far: Normandy,https://www.pcgamingwiki.com/wiki/A_Front_Too_Far:_Normandy,2026-05-25T11:25:43.860638,N/A,https://images.pcgamingwiki.com/1/15/A_Front_Too_Far_Normandy_cover.jpg,7,Intel Pentium,512 MB,Nvidia gt 730DirectX 9.0 compatible,750 MB,10,Intel i3,1024 MB,Nvidia gtx 1050 tiDirectX 11 compatible,1 GB
A Game About,https://www.pcgamingwiki.com/wiki/A_Game_About,2026-05-25T11:25:48.962454,N/A,https://thumbnails.pcgamingwiki.com/d/d2/A_Game_About_cover.jpg/600px-A_Game_About_cover.jpg,7,N/A,N/A,N/A,1 GB,N/A,N/A,N/A,N/A,N/A
A Game About Digging A Hole,https://www.pcgamingwiki.com/wiki/A_Game_About_Digging_A_Hole,2026-05-25T11:25:53.845987,A Game About Digging A Hole is a singleplayer first-person game.,https://images.pcgamingwiki.com/0/01/A_Game_About_Digging_A_Hole_cover.jpg,10/11,Intel Core i5,8 GB,NVIDIA GTX 770,N/A,N/A,N/A,N/A,N/A,N/A
